"tranportador_atrasou","PALLETS","troca_ordem","troc_h_carga","troc_h_descarga","troc_recurso","recurso_extra","isca","retorno","possui_prioridade","numero_acessos","numero_de_macros","numero_manutencao","ultimo_odometro_dia","GR_JORNADA","CIDADE_OPERACO","OPERACAO","ERAS_DESCRICAO","IDADE_CAVALO","IDADE_CARRETA","MARCA_CAVALO","MARCA_CARRETA","numero_paradas_proibidas","VIAG_VALOR_CARGA","VIAG_PESO_TOTAL","VIAG_DISTANCIA","delta_inicio_cadastro","delta_fim_inicio","numero_paradas.rast","numero_paradas.gris"
"1",26.36,"0","0","0","0","0","0","0","0",2,48,0,210364,"1","CTA","CROSS","NV FROTA",3,5,"SCANIA","FACCHINI",0,52727.99,34518.24,41.83,1.0975,2.4525,2,10
"1",28,"0","0","0","0","1","0","0","0",1,12,1,427882,"1","CVL","SPOT","NV FROTA",3,3,"SCANIA","FACCHINI",0,22490,16328,448.73,0.553333333333333,25.1008333333333,3,22
"1",26,"0","0","0","0","0","0","0","1",1,14,0,370515,"1","CVL","SPOT","NV FROTA",3,4,"SCANIA","NOMA",0,86578.26,32829.97,551.24,0.7675,27.0380555555556,2,42
"0",27,"0","0","0","0","0","0","0","0",2,48,0,210364,"1","CTA","CROSS","NV FROTA",3,5,"SCANIA","FACCHINI",0,44956.82,34190.74,41.83,1.56055555555556,2.58166666666667,2,10
"0",26,"0","0","0","0","0","0","0","0",2,48,0,210364,"1","CTA","CROSS","NV FROTA",3,5,"SCANIA","FACCHINI",0,47590.77,37047.25,41.83,2.36888888888889,9.26888888888889,2,10
"0",28,"0","0","0","0","0","0","0","1",2,48,0,210364,"1","CTA","CROSS","NV FROTA",3,5,"SCANIA","FACCHINI",0,75422.97,25195.1,50.41,0.1325,2.50722222222222,2,10
"1",26,"1","0","0","0","0","0","0","1",2,17,1,378123,"1","CVL","SPOT","NV FROTA",3,5,"SCANIA","FACCHINI",0,80365.97,26336.08,496.93,1.2325,24.8630555555556,4,2
"1",28,"0","0","0","0","0","0","0","1",1,17,1,328822,"1","CVL","SPOT","NV FROTA",2,2,"SCANIA","FACCHINI",0,54670.46,34188.1,598.72,0.118055555555556,24.8472222222222,6,7
"1",26,"0","0","0","0","0","0","0","1",2,14,0,437735,"1","CVL","SPOT","NV FROTA",3,3,"SCANIA","FACCHINI",0,63563.41,27400.64,859.84,1.40194444444444,31.9,3,35
"1",27.111,"0","0","0","0","0","0","0","1",1,17,3,363478,"1","CVL","SPOT","NV FROTA",4,0,"DAF","FACCHINI",0,98718.42,32058.96,462.78,0.391666666666667,23.1002777777778,6,29
"1",27.028,"0","0","0","0","0","0","0","1",2,21,1,332794,"1","CVL","SPOT","NV FROTA",3,1,"SCANIA","FACCHINI",0,58123.98,27887.77,429.73,1.65944444444444,21.1988888888889,4,19
"1",28,"0","0","0","0","0","0","0","0",1,17,0,47956,"1","CVL","CROSS","NV FROTA",0,5,"SCANIA","FACCHINI",0,69350.87,36244.92,274.88,0.2775,16.8758333333333,4,15
"1",28,"0","0","0","0","0","0","0","1",1,23,2,205229,"1","CVL","SPOT","NV FROTA",2,2,"SCANIA","FACCHINI",0,47407.81,29931.2,598.72,0.440277777777778,4.90777777777778,5,7
"1",28,"0","0","0","0","0","0","0","1",1,18,3,260410,"0","CVL","SPOT","NV FROTA",3,1,"SCANIA","FACCHINI",0,44191.99,30280.64,598.72,0.513055555555556,37.6355555555556,6,7
"1",26,"0","0","0","0","0","0","0","1",2,18,0,432776,"1","CVL","SPOT","NV FROTA",4,2,"DAF","FACCHINI",0,67818.54,30187.52,368.6,0.360833333333333,41.0672222222222,4,18
"1",27.315,"0","0","0","0","0","0","0","1",2,24,2,125157,"1","MAR","SPOT","NV FROTA",1,9,"SCANIA","LIBRELATO",0,83114.36,31418.09,197.9,1.01055555555556,3.73555555555556,6,6
"0",27,"0","0","0","0","0","0","0","1",4,40,3,135627,"1","MAR","CROSS","NV FROTA",1,5,"DAF","FACCHINI",0,51224.61,34904.68,205.96,0.5675,6.46055555555556,8,4
"0",27,"0","0","0","0","0","0","0","1",3,34,3,104396,"1","MAR","CROSS","NV FROTA",1,5,"DAF","FACCHINI",0,50592.1,32504.4,205.96,0.984444444444444,7.43805555555556,6,4
"1",28,"0","0","0","0","0","0","0","1",2,32,1,163359,"1","MAR","CROSS","NV FROTA",1,2,"DAF","FACCHINI",0,43378.19,30549.38,206.33,0.293055555555556,16.225,6,4
"0",27,"0","0","0","0","0","0","0","1",2,31,0,158171,"1","MAR","CROSS","NV FROTA",1,5,"DAF","FACCHINI",0,64797.64,35185.2,197.9,1.14694444444444,6.80138888888889,5,6
"0",26,"0","0","0","0","0","0","0","1",2,29,0,327947,"1","MAR","CROSS","NV FROTA",2,2,"SCANIA","FACCHINI",0,45344.04,33775.24,205.96,0.683333333333333,6.72027777777778,3,4
